Coding,Impression,Major,College,Hired,SPORTSPLAYED,TIKTOK,Age
Weak,Shy,Stats,Redbrick,No,Soccer,Nerdystuff,51.92573684
Weak,Confident,Stats,BYU,No,Basketball,NoAccount,23.73023239
Excellent,Shy,IT,BestCollege,Yes,Soccer,Sillyjunk,46.06370259
Weak,Shy,Stats,Redbrick,Yes,Tennis,Nerdystuff,44.95971721
OK,Outgoing,Stats,BestCollege,No,Soccer,Sillyjunk,27.05418214
OK,Outgoing,CS,Peters,No,Soccer,Nerdystuff,40.94073993
OK,Outgoing,Stats,BYU,No,NONE,Sillyjunk,32.20884022
Excellent,Outgoing,CS,BYU,No,Basketball,NoAccount,27.35768377
Excellent,Confident,Stats,PJIT,Yes,Basketball,Nerdystuff,39.87910116
Weak,Outgoing,Stats,PJIT,No,Basketball,Sillyjunk,24.31898818
Weak,Outgoing,CS,Peters,No,Basketball,NoAccount,45.88049776
OK,Shy,CS,Peters,No,Basketball,Sillyjunk,25.16286472
OK,Confident,Stats,Redbrick,No,Basketball,Sillyjunk,48.14347208
Weak,Confident,Stats,Peters,No,NONE,NoAccount,22.14689988
Weak,Shy,IT,Peters,No,Tennis,NoAccount,28.81356754
Weak,Shy,IT,PJIT,No,Basketball,Nerdystuff,58.81954165
OK,Outgoing,DataScience,PJIT,No,Basketball,Sillyjunk,58.10297019
Excellent,Confident,CS,BYU,No,Tennis,Nerdystuff,40.68490429
OK,Confident,IT,BYU,No,Soccer,Nerdystuff,24.95621767
OK,Outgoing,CS,Redbrick,No,Tennis,Nerdystuff,54.01503407
Weak,Shy,Stats,BYU,Yes,Tennis,Nerdystuff,26.09406485
Weak,Outgoing,Stats,BYU,No,Basketball,NoAccount,42.51834767
OK,Outgoing,CS,BYU,No,Tennis,Nerdystuff,30.29340966
Excellent,Shy,DataScience,Redbrick,No,Tennis,Nerdystuff,26.43962912
Excellent,Outgoing,Stats,PJIT,No,Basketball,Sillyjunk,24.99035426
Weak,Nerdy,DataScience,BYU,Yes,Tennis,Nerdystuff,28.00893318
Weak,Outgoing,Stats,BestCollege,Yes,NONE,Sillyjunk,42.73810491
Weak,Outgoing,IT,Redbrick,No,Basketball,Nerdystuff,32.33059283
OK,Confident,CS,PJIT,No,Basketball,Sillyjunk,60.90540805
OK,Outgoing,DataScience,Peters,No,Basketball,NoAccount,57.53607822
Excellent,Confident,DataScience,PJIT,No,Basketball,Sillyjunk,56.21697866
Weak,Confident,IT,BestCollege,No,Soccer,Sillyjunk,45.72417585
OK,Outgoing,CS,Redbrick,No,Basketball,Nerdystuff,44.17943884
Weak,Outgoing,DataScience,Redbrick,No,NONE,Nerdystuff,25.84134447
OK,Outgoing,CS,BYU,No,Basketball,NoAccount,25.62481719
Excellent,Shy,IT,Peters,No,Tennis,Nerdystuff,26.03951515
Excellent,Outgoing,IT,BYU,No,NONE,Nerdystuff,42.51909029
Weak,Shy,DataScience,BYU,No,NONE,NoAccount,59.0715892
OK,Nerdy,Stats,BestCollege,No,Soccer,Sillyjunk,30.32815111
Excellent,Outgoing,CS,BYU,Yes,Tennis,Sillyjunk,54.64574548
OK,Confident,IT,Redbrick,No,NONE,Nerdystuff,25.55418018
Weak,Shy,CS,Redbrick,No,Soccer,Nerdystuff,26.56403714
Weak,Shy,IT,Peters,No,Soccer,NoAccount,37.18981991
Excellent,Nerdy,DataScience,BestCollege,Yes,NONE,Sillyjunk,33.68418248
Weak,Nerdy,DataScience,Redbrick,No,Soccer,Nerdystuff,49.35569579
Weak,Confident,CS,BestCollege,No,Soccer,Sillyjunk,48.83907528
OK,Outgoing,CS,PJIT,Yes,Basketball,NoAccount,51.87730384
Weak,Nerdy,DataScience,PJIT,No,Basketball,Sillyjunk,30.67196876
Weak,Outgoing,CS,PJIT,No,Basketball,Nerdystuff,23.92046292
Weak,Confident,Stats,Redbrick,No,Tennis,Sillyjunk,50.87586161
OK,Nerdy,CS,BYU,No,Basketball,NoAccount,42.36936413
OK,Nerdy,IT,BYU,No,Soccer,NoAccount,34.19411605
Weak,Outgoing,DataScience,BYU,No,NONE,Sillyjunk,38.0631877
OK,Shy,IT,BYU,No,Soccer,NoAccount,61.86295751
Excellent,Nerdy,Stats,PJIT,No,Basketball,Nerdystuff,39.5425085
Excellent,Outgoing,Stats,PJIT,No,Basketball,Nerdystuff,35.51198551
OK,Nerdy,CS,BestCollege,No,Tennis,Sillyjunk,30.80871714
Weak,Confident,DataScience,BestCollege,No,Soccer,Sillyjunk,34.91358243
Excellent,Outgoing,CS,PJIT,No,Basketball,Sillyjunk,22.05172807
Weak,Nerdy,IT,PJIT,No,Basketball,Nerdystuff,31.66622388
Excellent,Shy,DataScience,Redbrick,No,NONE,Nerdystuff,50.53095772
Excellent,Shy,CS,BYU,No,Basketball,Sillyjunk,59.80373897
Excellent,Outgoing,Stats,PJIT,Yes,Basketball,NoAccount,34.05219984
OK,Confident,Stats,PJIT,Yes,Basketball,NoAccount,32.84949082
Weak,Confident,IT,Peters,No,Basketball,Sillyjunk,42.30759049
Excellent,Outgoing,IT,Redbrick,Yes,Soccer,Nerdystuff,50.82921862
OK,Outgoing,CS,BestCollege,Yes,Basketball,Sillyjunk,36.69438656
Excellent,Confident,CS,BestCollege,Yes,Soccer,Sillyjunk,27.09383485
Weak,Shy,DataScience,BestCollege,No,NONE,Sillyjunk,46.41737641
Weak,Shy,IT,BestCollege,No,Tennis,Sillyjunk,28.3498112
Weak,Shy,Stats,BYU,No,NONE,Nerdystuff,43.06934028
Excellent,Outgoing,CS,Redbrick,No,Soccer,Nerdystuff,48.50913955
OK,Outgoing,IT,Redbrick,No,Tennis,Nerdystuff,60.4302077
Excellent,Confident,CS,Redbrick,No,Basketball,Sillyjunk,50.3357204
Excellent,Confident,DataScience,PJIT,No,Basketball,Sillyjunk,35.4391304
Weak,Outgoing,Stats,BYU,No,NONE,NoAccount,32.25598662
Excellent,Shy,Stats,BestCollege,No,NONE,Sillyjunk,26.32948272
OK,Shy,DataScience,Redbrick,No,Soccer,Nerdystuff,51.14434127
Weak,Nerdy,CS,Redbrick,No,Tennis,Nerdystuff,43.54564268
OK,Shy,IT,BestCollege,Yes,Soccer,Sillyjunk,38.8928029
Excellent,Outgoing,IT,Peters,No,Soccer,Nerdystuff,26.11519259
OK,Shy,CS,Redbrick,No,Tennis,Nerdystuff,29.07282254
OK,Nerdy,CS,BestCollege,No,Tennis,Sillyjunk,43.56295586
Excellent,Outgoing,Stats,Redbrick,Yes,NONE,Nerdystuff,21.49328325
Excellent,Outgoing,DataScience,PJIT,No,Basketball,Nerdystuff,51.80704024
Excellent,Outgoing,CS,BestCollege,Yes,NONE,Sillyjunk,39.14590114
Weak,Confident,Stats,BYU,Yes,Tennis,Sillyjunk,49.58545984
Weak,Outgoing,CS,Redbrick,No,Basketball,Nerdystuff,55.3509892
Weak,Outgoing,Stats,PJIT,Yes,Basketball,NoAccount,60.1255197
Weak,Confident,Stats,Redbrick,No,Soccer,Sillyjunk,61.23535704
OK,Confident,Stats,BYU,No,Soccer,Sillyjunk,32.81564329
Weak,Nerdy,IT,PJIT,No,Basketball,Nerdystuff,35.32819004
OK,Outgoing,Stats,BestCollege,No,Basketball,Sillyjunk,32.74995136
Excellent,Confident,DataScience,BestCollege,Yes,NONE,Sillyjunk,52.73724212
Excellent,Confident,CS,Peters,No,Tennis,Sillyjunk,42.49274535
OK,Outgoing,IT,BestCollege,No,Tennis,Sillyjunk,57.14411971
OK,Confident,Stats,BestCollege,No,NONE,Sillyjunk,56.04334175
Weak,Outgoing,DataScience,Redbrick,Yes,Soccer,Nerdystuff,60.88276703
Excellent,Outgoing,IT,PJIT,No,Basketball,Nerdystuff,61.34221399
OK,Shy,IT,Redbrick,No,Basketball,Nerdystuff,48.71174615
OK,Shy,IT,Peters,No,Soccer,Nerdystuff,25.76502986
Excellent,Confident,DataScience,Redbrick,No,Tennis,Nerdystuff,31.48895808
Excellent,Confident,DataScience,BestCollege,No,NONE,Sillyjunk,31.27168515
Weak,Shy,CS,Redbrick,No,Basketball,Nerdystuff,60.71395038
Excellent,Outgoing,IT,PJIT,Yes,Basketball,NoAccount,59.71706732
OK,Outgoing,IT,BYU,No,NONE,Nerdystuff,58.53914245
Excellent,Confident,Stats,BestCollege,Yes,Tennis,Sillyjunk,53.55228964
Excellent,Shy,CS,BYU,Yes,Tennis,Sillyjunk,42.74337056
Weak,Confident,DataScience,PJIT,Yes,Basketball,Sillyjunk,59.74060824
Excellent,Shy,Stats,Redbrick,Yes,Soccer,Nerdystuff,29.39820044
OK,Confident,Stats,BestCollege,No,Basketball,Sillyjunk,43.30854416
OK,Outgoing,IT,Redbrick,No,Basketball,Nerdystuff,47.1635674
Weak,Outgoing,CS,BYU,No,NONE,Sillyjunk,32.66007724
Weak,Shy,DataScience,BYU,Yes,Basketball,NoAccount,29.45795097
Weak,Nerdy,DataScience,BYU,No,NONE,Nerdystuff,60.90830069
OK,Outgoing,IT,BestCollege,Yes,NONE,Sillyjunk,41.31754375
Excellent,Confident,Stats,PJIT,No,Basketball,Sillyjunk,35.92631906
Weak,Outgoing,Stats,BYU,No,Basketball,NoAccount,32.6197265
Weak,Outgoing,IT,PJIT,No,Basketball,NoAccount,55.6189436
Excellent,Outgoing,CS,Redbrick,Yes,NONE,Nerdystuff,29.1889134
Weak,Nerdy,CS,BestCollege,No,Basketball,Sillyjunk,33.32532415
Excellent,Outgoing,DataScience,Redbrick,No,Soccer,Nerdystuff,59.90044575
OK,Outgoing,IT,Peters,No,Soccer,NoAccount,50.1055666
Weak,Confident,CS,BestCollege,No,NONE,Sillyjunk,59.75989266
Weak,Confident,DataScience,BestCollege,No,Basketball,Sillyjunk,60.62173652
Weak,Shy,Stats,Redbrick,Yes,NONE,Nerdystuff,44.02818957
Weak,Outgoing,CS,PJIT,No,Basketball,Sillyjunk,49.84383241
Excellent,Confident,DataScience,BYU,Yes,Soccer,Nerdystuff,33.74504044
Excellent,Outgoing,DataScience,Redbrick,No,NONE,Nerdystuff,27.04663479
Excellent,Shy,DataScience,PJIT,No,Basketball,Nerdystuff,45.1689509
OK,Shy,Stats,Peters,Yes,Tennis,Sillyjunk,24.53801757
OK,Confident,DataScience,Redbrick,No,Tennis,Sillyjunk,44.79527388
OK,Nerdy,DataScience,BYU,Yes,Tennis,Sillyjunk,36.13983325
OK,Outgoing,IT,BYU,No,Soccer,Nerdystuff,58.09359121
Weak,Outgoing,DataScience,BestCollege,Yes,Basketball,Sillyjunk,30.65088233
OK,Shy,Stats,BYU,Yes,Tennis,Nerdystuff,60.45248127
Excellent,Nerdy,IT,Peters,Yes,Tennis,NoAccount,22.17706608
Weak,Shy,CS,PJIT,No,Basketball,NoAccount,33.25006703
OK,Outgoing,DataScience,BYU,No,Soccer,Sillyjunk,52.4509873
Weak,Shy,DataScience,BestCollege,Yes,NONE,Sillyjunk,39.57758435
OK,Nerdy,Stats,BYU,No,Soccer,Sillyjunk,32.4958921
OK,Confident,DataScience,PJIT,No,Basketball,NoAccount,26.05872885
Weak,Nerdy,CS,BYU,No,Tennis,NoAccount,22.27604538
Weak,Nerdy,Stats,Redbrick,No,Basketball,Nerdystuff,61.37633516
OK,Shy,IT,Redbrick,No,Soccer,Nerdystuff,47.09819045
Weak,Shy,CS,Peters,No,Soccer,NoAccount,22.84832707
Weak,Outgoing,IT,Peters,No,Tennis,NoAccount,32.99440966
Weak,Outgoing,CS,BYU,No,Tennis,Nerdystuff,22.79128014
OK,Outgoing,DataScience,Peters,No,NONE,NoAccount,44.70276893
Weak,Shy,Stats,Peters,No,Soccer,Nerdystuff,30.3871572
OK,Confident,DataScience,Peters,No,Soccer,NoAccount,26.11328042
Weak,Outgoing,IT,PJIT,No,Basketball,NoAccount,58.52060331
OK,Outgoing,Stats,Peters,No,Tennis,Sillyjunk,56.2278863
OK,Outgoing,Stats,Peters,No,Tennis,Nerdystuff,39.2424341
OK,Outgoing,IT,BYU,No,Soccer,NoAccount,30.63034967
Excellent,Shy,Stats,BestCollege,No,Soccer,Sillyjunk,50.61315833
Weak,Outgoing,IT,BestCollege,No,Tennis,Sillyjunk,58.24948935
Weak,Confident,IT,Peters,No,Tennis,NoAccount,27.13482165
Weak,Confident,CS,BYU,Yes,Tennis,Sillyjunk,49.29977101
Weak,Outgoing,CS,PJIT,No,Basketball,Sillyjunk,28.8345604
Weak,Outgoing,Stats,Peters,No,Basketball,Sillyjunk,52.45320933
Weak,Outgoing,DataScience,Redbrick,No,Basketball,Nerdystuff,33.04728285
Weak,Outgoing,DataScience,Redbrick,No,Basketball,Nerdystuff,41.07588717
Weak,Nerdy,Stats,PJIT,No,Basketball,NoAccount,58.71495964
Excellent,Outgoing,IT,BestCollege,Yes,Tennis,Sillyjunk,45.45289035
Weak,Outgoing,DataScience,BestCollege,No,Soccer,Sillyjunk,37.51840985
Weak,Nerdy,DataScience,Redbrick,Yes,Tennis,Nerdystuff,60.74224187
Excellent,Nerdy,IT,BestCollege,No,Soccer,Sillyjunk,35.6593424
OK,Outgoing,CS,PJIT,No,Basketball,Sillyjunk,60.99508632
OK,Confident,DataScience,PJIT,No,Basketball,NoAccount,39.44067593
Weak,Confident,IT,Redbrick,No,Basketball,Sillyjunk,45.31392013
Weak,Outgoing,IT,Redbrick,No,Soccer,Nerdystuff,31.23518652
Weak,Nerdy,Stats,BYU,Yes,Tennis,NoAccount,37.1971017
Weak,Nerdy,DataScience,PJIT,Yes,Basketball,NoAccount,36.52110231
OK,Shy,CS,BYU,Yes,Basketball,Nerdystuff,33.28643353
Weak,Shy,DataScience,Peters,No,NONE,NoAccount,33.91665053
Weak,Shy,IT,BestCollege,Yes,NONE,Sillyjunk,23.44163672
Excellent,Outgoing,DataScience,BestCollege,Yes,Tennis,Sillyjunk,45.84787672
Weak,Confident,IT,PJIT,No,Basketball,Sillyjunk,55.19640962
Weak,Outgoing,CS,BYU,Yes,Soccer,NoAccount,35.35079917
Excellent,Outgoing,DataScience,BestCollege,Yes,Soccer,Sillyjunk,53.98172524
OK,Outgoing,CS,PJIT,Yes,Basketball,Sillyjunk,23.15607543
OK,Nerdy,DataScience,Redbrick,No,Soccer,Nerdystuff,22.05013251
Weak,Outgoing,IT,PJIT,No,Basketball,Nerdystuff,25.59478358
Weak,Outgoing,DataScience,BestCollege,No,NONE,Sillyjunk,37.73005368
OK,Nerdy,IT,PJIT,No,Basketball,Nerdystuff,38.92310608
OK,Outgoing,Stats,BYU,No,Basketball,NoAccount,40.70025629
OK,Outgoing,CS,Peters,No,Basketball,Nerdystuff,56.4523991
Excellent,Shy,CS,Redbrick,No,NONE,Nerdystuff,46.30380507
Excellent,Outgoing,IT,BestCollege,Yes,Tennis,Sillyjunk,21.23468712
Weak,Shy,CS,BestCollege,No,NONE,Sillyjunk,44.78946261
Excellent,Confident,Stats,BYU,No,Soccer,Sillyjunk,59.79950286
Excellent,Outgoing,IT,PJIT,Yes,Basketball,NoAccount,32.75367031
Weak,Outgoing,DataScience,BestCollege,Yes,Basketball,Sillyjunk,51.68656018
Weak,Shy,CS,BestCollege,No,NONE,Sillyjunk,24.31309982
OK,Outgoing,CS,BestCollege,No,Basketball,Sillyjunk,34.67386547
OK,Nerdy,DataScience,BYU,No,Soccer,Nerdystuff,27.80439808
Excellent,Confident,DataScience,Peters,No,Basketball,Sillyjunk,46.03935122
OK,Shy,IT,Redbrick,No,Soccer,Nerdystuff,25.65246661
Weak,Confident,CS,BestCollege,No,Tennis,Sillyjunk,41.40243201
Weak,Shy,IT,BestCollege,Yes,Tennis,Sillyjunk,50.18893543
Weak,Outgoing,CS,PJIT,Yes,Basketball,Sillyjunk,27.90906798
OK,Nerdy,IT,BestCollege,No,Tennis,Sillyjunk,31.55170775
Weak,Confident,IT,BestCollege,No,Soccer,Sillyjunk,24.13475076
OK,Nerdy,Stats,BYU,No,Soccer,NoAccount,31.48209851
Excellent,Confident,DataScience,BestCollege,Yes,Basketball,Sillyjunk,36.5437653
Weak,Shy,IT,PJIT,Yes,Basketball,Sillyjunk,22.88365472
Excellent,Confident,CS,BYU,No,Soccer,Sillyjunk,28.89016982
Excellent,Nerdy,CS,Redbrick,Yes,Soccer,Nerdystuff,57.57939573
Weak,Confident,DataScience,PJIT,No,Basketball,Sillyjunk,42.03277409
Weak,Confident,DataScience,PJIT,No,Basketball,Sillyjunk,53.63760161
OK,Confident,CS,BestCollege,No,NONE,Sillyjunk,35.85766787
Weak,Nerdy,DataScience,Peters,No,Tennis,Sillyjunk,51.68950764
OK,Shy,CS,BestCollege,No,NONE,Sillyjunk,53.4957117
Weak,Outgoing,IT,BYU,No,Basketball,Sillyjunk,44.69422679
Weak,Nerdy,CS,Redbrick,Yes,NONE,Nerdystuff,60.69471958
Excellent,Outgoing,Stats,BestCollege,Yes,NONE,Sillyjunk,31.94440606
Excellent,Shy,DataScience,PJIT,No,Basketball,Nerdystuff,29.70333516
Weak,Outgoing,DataScience,Redbrick,No,NONE,Nerdystuff,34.75747136
Weak,Shy,Stats,BYU,No,Tennis,Sillyjunk,42.81716043
Weak,Confident,DataScience,BestCollege,No,NONE,Sillyjunk,57.02593717
Excellent,Outgoing,IT,Redbrick,Yes,Tennis,Nerdystuff,36.67239461
Weak,Shy,DataScience,BYU,No,Soccer,NoAccount,26.28624778
OK,Outgoing,Stats,BestCollege,No,Basketball,Sillyjunk,39.36994422
Weak,Outgoing,CS,PJIT,No,Basketball,Nerdystuff,39.07483626
Excellent,Nerdy,Stats,Redbrick,No,Soccer,Nerdystuff,56.15356076
Excellent,Outgoing,DataScience,Peters,No,Basketball,NoAccount,28.12105696
OK,Outgoing,CS,PJIT,No,Basketball,Sillyjunk,57.33517991
OK,Nerdy,CS,Peters,No,Tennis,Sillyjunk,46.79626138
Excellent,Confident,Stats,Peters,Yes,Basketball,Sillyjunk,41.23875196
Excellent,Confident,Stats,Peters,No,NONE,Sillyjunk,48.52914211
OK,Confident,CS,Peters,No,NONE,Nerdystuff,38.22174097
Weak,Outgoing,DataScience,PJIT,No,Basketball,NoAccount,27.07044055
Weak,Outgoing,Stats,Peters,Yes,Basketball,Sillyjunk,42.85750827
OK,Confident,CS,Redbrick,Yes,Basketball,Nerdystuff,32.87279575
Weak,Nerdy,CS,BestCollege,No,NONE,Sillyjunk,53.61316155
Excellent,Outgoing,DataScience,PJIT,No,Basketball,NoAccount,50.58777481
OK,Shy,CS,Peters,No,Soccer,NoAccount,30.71390759
OK,Outgoing,DataScience,BYU,Yes,Tennis,Sillyjunk,46.34269935
Weak,Shy,Stats,Peters,No,Soccer,Sillyjunk,28.23732184
Weak,Nerdy,CS,Peters,Yes,Basketball,NoAccount,44.61512197
OK,Nerdy,CS,BYU,No,Tennis,Sillyjunk,25.56874438
Excellent,Nerdy,DataScience,BYU,Yes,NONE,NoAccount,43.36969527
OK,Confident,IT,PJIT,No,Basketball,Nerdystuff,25.62242982
Excellent,Outgoing,Stats,Redbrick,Yes,Tennis,Nerdystuff,38.4722889
OK,Nerdy,DataScience,Redbrick,No,Basketball,Nerdystuff,51.79120019
Excellent,Outgoing,CS,Redbrick,Yes,Basketball,Nerdystuff,39.42168619
Weak,Outgoing,CS,BestCollege,No,NONE,Sillyjunk,59.2280813
Weak,Nerdy,CS,PJIT,No,Basketball,Nerdystuff,58.95031488
Excellent,Outgoing,DataScience,BYU,No,Basketball,Nerdystuff,34.72386422
Weak,Shy,Stats,PJIT,No,Basketball,Sillyjunk,46.20766485
Excellent,Nerdy,DataScience,BestCollege,No,NONE,Sillyjunk,35.7814306
OK,Nerdy,CS,BYU,No,Tennis,NoAccount,59.16085764
Weak,Nerdy,CS,Peters,No,Soccer,NoAccount,49.23780582
Weak,Shy,CS,Redbrick,No,Basketball,Nerdystuff,61.67559863
Excellent,Outgoing,DataScience,BYU,Yes,Tennis,NoAccount,41.51972718
Weak,Confident,Stats,BYU,No,Tennis,Sillyjunk,52.83265061
Excellent,Confident,IT,Redbrick,Yes,Soccer,Sillyjunk,47.18700669
Excellent,Shy,CS,PJIT,Yes,Basketball,NoAccount,47.95029057
OK,Confident,Stats,BestCollege,No,Soccer,Sillyjunk,55.6965626
Excellent,Shy,IT,Peters,No,NONE,NoAccount,54.14898795
Weak,Shy,Stats,Redbrick,No,Tennis,Nerdystuff,27.21853122
Excellent,Outgoing,CS,PJIT,No,Basketball,Sillyjunk,26.61557877
Weak,Outgoing,CS,BestCollege,No,NONE,Sillyjunk,39.34861461
OK,Confident,DataScience,BestCollege,No,NONE,Sillyjunk,50.60802494
Weak,Confident,Stats,Redbrick,No,Basketball,Nerdystuff,34.62722197
Excellent,Outgoing,CS,Peters,Yes,Basketball,NoAccount,33.73557576
Weak,Outgoing,IT,BYU,No,Tennis,NoAccount,38.32949733
Excellent,Outgoing,IT,PJIT,No,Basketball,NoAccount,37.61005183
Weak,Shy,IT,Peters,No,Soccer,NoAccount,40.54234169
OK,Confident,IT,BYU,No,NONE,NoAccount,30.85037941
Weak,Nerdy,DataScience,Redbrick,Yes,NONE,Nerdystuff,24.8503153
Excellent,Nerdy,IT,Peters,No,NONE,Nerdystuff,51.52344147
OK,Outgoing,CS,BestCollege,Yes,NONE,Sillyjunk,23.81657033
Excellent,Nerdy,IT,Peters,No,Soccer,Sillyjunk,57.59683142
Excellent,Confident,CS,Peters,Yes,Tennis,Sillyjunk,49.66747301
OK,Nerdy,DataScience,PJIT,No,Basketball,Nerdystuff,31.6307785
OK,Nerdy,IT,BestCollege,Yes,Soccer,Sillyjunk,30.16451947
Weak,Confident,CS,Peters,No,Tennis,Sillyjunk,50.7985386
Excellent,Outgoing,CS,PJIT,Yes,Basketball,NoAccount,55.50506277
OK,Outgoing,IT,PJIT,No,Basketball,NoAccount,23.31075147
OK,Outgoing,IT,PJIT,No,Basketball,NoAccount,59.86834126
Excellent,Outgoing,DataScience,PJIT,Yes,Basketball,Nerdystuff,54.18246649
OK,Outgoing,DataScience,BestCollege,No,NONE,Sillyjunk,29.85137271
Weak,Nerdy,CS,BestCollege,No,Soccer,Sillyjunk,47.05335913
OK,Nerdy,Stats,Redbrick,No,Tennis,Nerdystuff,50.30996128
Excellent,Outgoing,Stats,Redbrick,Yes,Basketball,Nerdystuff,46.5370691
OK,Outgoing,CS,Redbrick,No,Soccer,Nerdystuff,40.30484668
Weak,Outgoing,DataScience,Peters,No,NONE,Sillyjunk,38.28606477
Excellent,Nerdy,CS,Peters,Yes,Tennis,Sillyjunk,34.42033535
Weak,Outgoing,DataScience,Redbrick,No,Basketball,Nerdystuff,52.22247622
OK,Outgoing,CS,Peters,No,Basketball,NoAccount,46.43463664
Excellent,Shy,IT,Redbrick,Yes,NONE,Nerdystuff,23.71266066
Weak,Shy,CS,Peters,No,Basketball,Nerdystuff,32.60702992
Excellent,Outgoing,Stats,PJIT,No,Basketball,NoAccount,30.55972405
Excellent,Outgoing,DataScience,Peters,No,Basketball,Sillyjunk,48.15981271
Excellent,Shy,Stats,BYU,Yes,NONE,Sillyjunk,22.09179534
Weak,Confident,Stats,Peters,No,Tennis,Sillyjunk,48.48416374
Weak,Confident,IT,BYU,No,Tennis,NoAccount,25.69810381
OK,Confident,CS,PJIT,No,Basketball,Sillyjunk,40.62739782
OK,Nerdy,DataScience,BYU,No,Soccer,Nerdystuff,45.80045173
OK,Outgoing,IT,BYU,No,Tennis,Nerdystuff,26.21026065
OK,Shy,IT,BYU,No,Basketball,Sillyjunk,53.14328342
OK,Outgoing,Stats,Peters,Yes,Tennis,NoAccount,58.64446006
Weak,Shy,DataScience,BestCollege,No,Soccer,Sillyjunk,44.64357727
Weak,Outgoing,IT,Redbrick,Yes,Soccer,Nerdystuff,41.00476424
OK,Shy,CS,BestCollege,No,Tennis,Sillyjunk,46.79651223
Excellent,Outgoing,CS,Peters,No,Soccer,NoAccount,46.81343993
